StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,trick,alpaca_315_no,alpaca_32_no,alpaca_325_no,alpaca_33_no,alpaca_335_no,alpaca_34_no,alpaca_345_no,alpaca_35_no,alpaca_355_no,alpaca_36_no,alpaca_365_no,alpaca_37_no,alpaca_315_go,alpaca_32_go,alpaca_325_go,alpaca_33_go,alpaca_335_go,alpaca_34_go,alpaca_345_go,alpaca_35_go,alpaca_355_go,alpaca_36_go,alpaca_365_go,alpaca_37_go,alpaca_315_me,alpaca_32_me,alpaca_325_me,alpaca_33_me,alpaca_335_me,alpaca_34_me,alpaca_345_me,alpaca_35_me,alpaca_355_me,alpaca_36_me,alpaca_365_me,alpaca_37_me,alpaca_315_ba,alpaca_32_ba,alpaca_325_ba,alpaca_33_ba,alpaca_335_ba,alpaca_34_ba,alpaca_345_ba,alpaca_35_ba,alpaca_355_ba,alpaca_36_ba,alpaca_365_ba,alpaca_37_ba,Trust_ba,Trust_me,Trust_go,Open,Ed,Gender,Gender_5_TEXT,Age,MTurk,SC0,MturkCode,Budget,Payment 
2/25/19 12:45,2/25/19 12:52,IP Address,122.164.17.116,100,428,TRUE,2/25/19 12:52,R_2D6N1UwSgrQVTHY,,,,,13.08430481,80.28048706,anonymous,EN,alpacas,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,6,7 (completely trustworthy),7 (completely trustworthy),I followed the forecast predictions,Bachelor's degree in college (4-year),Male,,42,A11GWWAXRJQ6Y2,-31000,654209649,17000,2.55
2/25/19 12:59,2/25/19 13:02,IP Address,70.177.181.202,100,199,TRUE,2/25/19 13:02,R_pKwAPXUoyc41wQh,,,,,33.71470642,-112.240097,anonymous,EN,alpacas,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,4,6,6,i just went off on what was in the lower temps the most. didn't really go off the other,Associate degree in college (2-year),Female,,34,A3UUH3632AI3ZX,-31000,656209985,17000,2.55
2/25/19 12:30,2/25/19 12:39,IP Address,45.251.33.252,100,537,TRUE,2/25/19 12:39,R_8vanGDZ6JOge4Eh,,,,,13.08430481,80.28048706,anonymous,EN,alpacas,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,3,4,6,I carefully analysed the prediction map and also the confidence level of the scientists,Bachelor's degree in college (4-year),Male,,36,A20VJWCDIBKTZI,-32000,502209916,16000,2.4
2/25/19 12:43,2/25/19 12:47,IP Address,174.85.255.66,100,251,TRUE,2/25/19 12:47,R_3ix9rC7nlRXcV7o,,,,,34.80360413,-86.97070313,anonymous,EN,alpacas,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,3,5,6,If it was going to be closer to being freezing I issues a blanket. I also used to low and high ratings as part of my choice on if I trusted how close to freezing it would get ,Some college but no degree,Female,,24,A2UIGDOLX5RV95,-32000,898209872,16000,2.4
2/25/19 13:40,2/25/19 13:51,IP Address,199.96.205.224,100,700,TRUE,2/25/19 13:51,R_vYVVFpZfaHzNZ4J,,,,,34.62460327,-98.38950348,anonymous,EN,alpakas,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,3,6,5,I based it on the graph.,Some college but no degree,Male,,58,AYSG3J2U3UF1Y,-32000,142209597,16000,2.4
2/25/19 12:47,2/25/19 12:54,IP Address,98.219.125.65,100,404,TRUE,2/25/19 12:54,R_2tyC1I0i9MkPN7j,,,,,27.2427063,-82.47509766,anonymous,EN,alpacas,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,2,5,7 (completely trustworthy),I tried to consider where the circles were on specific temperatures and the degree of confidence in the forecast.,Bachelor's degree in college (4-year),Male,,30,A3EBUBRYCKB6AF,-33000,907209443,15000,2.25
2/25/19 12:43,2/25/19 12:57,IP Address,66.27.186.62,100,817,TRUE,2/25/19 12:57,R_1r03ZcFwKoHcZPF,,,,,34.15589905,-116.4313049,anonymous,EN,alpacas,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,2,4,6,I thought of it like I would my plants in a freeze. I felt like I was low risk.,High school graduate (high school diploma or equivalent including GED),Male,,49,AA9V4NE8SOA4I,-33000,566209944,15000,2.25
2/25/19 12:44,2/25/19 12:57,IP Address,137.110.137.34,100,822,TRUE,2/25/19 12:57,R_10YsRBt48sQgbb0,,,,,32.84869385,-117.2767029,anonymous,EN,alpacas,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,1 (not at all trustworthy),5,7 (completely trustworthy),"Since the consequence for not issuing a blanket was quite high, I was exceedingly cautious.  Specifically, if I made 1 mistake, that would be the same as needlessly giving out blankets on 6 nights.  Therefore, anytime the forecast confidence was either high or medium and more than 1 dot (5%) was below 32F then I opted to issue blankets.  In the event that the forecast confidence was low, then I assumed the graph was completely unreliable, so I opted to issue blankets.",Master's degree,Male,,40,A3LRZX8477TYYZ,-33000,749209490,15000,2.25
2/25/19 12:59,2/25/19 13:05,IP Address,47.149.16.104,100,344,TRUE,2/25/19 13:05,R_2ZJNspppQqSS9L3,,,,,34.04299927,-117.7556,anonymous,EN,alpacas,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,2,3,6,"i took the approach of better safe than sorry. if the temperature was low i would use the blankets, if it was high but low confident i would lean more towards using the blankets",Some college but no degree,Male,,35,A1EITLFAMKA61U,-33000,285209363,15000,2.25
2/25/19 13:04,2/25/19 13:14,IP Address,66.99.3.239,100,608,TRUE,2/25/19 13:14,R_Xn85IU22LIi8IPT,,,,,41.92089844,-87.70429993,anonymous,EN,alpacas,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,2,4,7 (completely trustworthy),While I didn't disregard the trust ability I certainly put more weight on the distribution even when it was low confidence.  Otherwise I might as well just guess.,Some college but no degree,Male,,48,A3862RIFFUV141,-33000,988209142,15000,2.25
2/25/19 13:44,2/25/19 13:51,IP Address,75.172.25.22,100,407,TRUE,2/25/19 13:51,R_3I63R4EuO1PuLXd,,,,,47.20730591,-122.444397,anonymous,EN,alpacas,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,2,4,6,"If there was a 3/20 or higher chance of temperatures falling below freezing, and the likelihood was at least medium, I gave them blankets. If the likelihood was low, it depended on how close the bulk of the chances were to freezing or falling below freezing",Some college but no degree,Female,,39,A3HSMUPSPOKD0M,-33000,795209930,15000,2.25
2/25/19 12:34,2/25/19 12:39,IP Address,73.48.80.170,100,304,TRUE,2/25/19 12:39,R_8wsAqwxD31n4Wcx,,,,,30.49079895,-84.31580353,anonymous,EN,alpacas,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1 (not at all trustworthy),4,7 (completely trustworthy),"I considered my budget, my bonus, the forecasts, and the temperatures.",Bachelor's degree in college (4-year),Male,,36,A1P6OXEJ86HQRM,-34000,382209764,14000,2.1
2/25/19 12:34,2/25/19 12:42,IP Address,69.76.58.243,100,469,TRUE,2/25/19 12:42,R_2f1YjFUmSjph3D4,,,,,44.55220032,-88.07879639,anonymous,EN,alpacas,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,4,5,6,I went off my own judgment mostly.  A forecaster isn't going to know much more than me about how weather is going to turn out.,Bachelor's degree in college (4-year),Female,,34,AQV468FB908WI,-34000,159209621,14000,2.1
2/25/19 12:41,2/25/19 12:45,IP Address,50.44.120.198,100,251,TRUE,2/25/19 12:45,R_2v7F7SpAaPpaQmC,,,,,39.73390198,-90.22899628,anonymous,EN,alpacas,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,5,6,7 (completely trustworthy),"If there was one or two bubbles underneath the 32, I would issue blankets if the forecast was low or medium. Anytime there were more than a few bubbles under 32 I issued blankets. It's cheaper to issue and not need them than it is to not issue and get caught 6000.",Bachelor's degree in college (4-year),Female,,31,A9HQ3E0F2AGVO,-34000,914209465,14000,2.1
2/25/19 12:56,2/25/19 13:03,IP Address,98.235.69.98,100,411,TRUE,2/25/19 13:03,R_uq3Dw6njAK9EQz7,,,,,41.27420044,-75.89029694,anonymous,EN,alpaca,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,1 (not at all trustworthy),4,7 (completely trustworthy),"If the temperature was slated to drop very low, I made sure to get them blankets. If it was borderline, it depended on how much chance it would be to get under 32.",Bachelor's degree in college (4-year),Male,,38,A1945USNZHTROX,-34000,288209510,14000,2.1
2/25/19 13:01,2/25/19 13:25,IP Address,100.12.178.53,100,1444,TRUE,2/25/19 13:25,R_3J2XEauVwSHNK1U,,,,,40.76109314,-73.89160156,anonymous,EN,alpacas,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,2,5,7 (completely trustworthy),My primary consideration was whether there was any chance whatsoever even if it's very slim i.e. 1/20 then I would rather spend the money on the blankets to avoid losing 6x more if I don't take the precaution.,"Professional degree (JD, MD)",Female,,25,AKSJ3C5O3V9RB,-34000,950209585,14000,2.1
2/25/19 13:34,2/25/19 13:41,IP Address,74.134.75.252,100,400,TRUE,2/25/19 13:41,R_1Cp525di90gJLYz,,,,,38.00100708,-84.52819824,anonymous,EN,alpacas,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,3,4,6,I considered the number of dots on each graph. I didn't want to take the chance of the temperature dropping too much. ,Some college but no degree,Female,,37,A3U21PUMQ6NGT2,-34000,616209703,14000,2.1
2/25/19 13:40,2/25/19 13:49,IP Address,98.151.192.68,100,546,TRUE,2/25/19 13:49,R_V53jJdWwnblQ70R,,,,,20.00810242,-155.7052002,anonymous,EN,alpacas,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,2,3,6,After considering just how costl a frozn alpaca is i try to err on the side of cation in issuing blankets if there was a 10 percent or more chance of freezing. any low weight forecast i really tended to issue blankets,Bachelor's degree in college (4-year),Male,,44,A5TI9UQEPLNWI,-34000,973209651,14000,2.1
2/25/19 12:33,2/25/19 12:44,IP Address,47.210.3.243,100,651,TRUE,2/25/19 12:44,R_2dWOckxGE3Y4Ezv,,,,,32.543396,-93.70110321,anonymous,EN,alpacas,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1 (not at all trustworthy),4,6,I considered the forecasts and confidence levels as well as the risk I was willing to take based on the percentages.,Some college but no degree,Male,,56,A30RAYNDOWQ61S,-36000,235209478,12000,1.8
2/25/19 13:07,2/25/19 13:12,IP Address,24.13.174.184,100,287,TRUE,2/25/19 13:12,R_2XhY2MPPXKEtIte,,,,,41.89199829,-87.64160156,anonymous,EN,alpacas,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,4,6,I looked at how it would be for the temperature to be 32 or under and how reliable I thought the forecast was,Bachelor's degree in college (4-year),Female,,25,APGX2WZ59OWDN,-36000,676209364,12000,1.8
