"StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","DistributionChannel","UserLanguage","Q_RecaptchaScore","meta_info_Browser","meta_info_Version","meta_info_Operating.System","meta_info_Resolution","do_you_consent","Q16","Q20","X1_Q6","X2_Q6","X3_Q6","X4_Q6","X5_Q6","X6_Q6","X7_Q6","X8_Q6","X9_Q6","X10_Q6","X11_Q6","X12_Q6","X13_Q6","X14_Q6","X15_Q6","X16_Q6","X17_Q6","X18_Q6","X19_Q6","X20_Q6","X1_Q8","X2_Q8","X3_Q8","X4_Q8","X5_Q8","X6_Q8","X7_Q8","X8_Q8","X9_Q8","X10_Q8","X11_Q8","X12_Q8","X13_Q8","X14_Q8","curve.for.decision","curve.for.decision_7_TEXT","description","seed","PROLIFIC_PID","STUDY_ID","SESSION_ID","total_trials","budget","TotalTrialsSingle","TotalTrialsMultiple","COMP_CODE","trial_index_map_single","trial_index_map_multiple","vis","FL_9_DO"
"2024-08-13 11:25:52","2024-08-13 11:47:36","IP Address","100","1304","True","2024-08-13 11:47:37","R_1NwAAc5Bh2m0LSc","anonymous","EN","1","Chrome","103.0.0.0","CrOS x86_64 14816.131.0","1366x768","Yes","8","50","No","Yes","Yes","No","No","Yes","No","Yes","No","No","","Yes","No","No","Yes","No","No","No","Yes","","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","","","","","the percentage between 32 and 33 ","6759","53162da8","66ba4d1673ee592dd76d031e","66bb9709e4180d89b2ca1e5b","30","6000","18","12","CK3LYXU8","[13,1,4,14,11,5,0,6,15,10,12,7,18,8,2,16,17,9,3]","[10,9,7,8,3,12,4,1,5,11,6,2]","pbox","FL_11"
"2024-08-13 11:44:57","2024-08-13 11:51:45","IP Address","100","408","True","2024-08-13 11:51:46","R_1ZTQk7fgtNPDH5J","anonymous","EN","1","Chrome","126.0.0.0","Windows NT 10.0","1920x1080","Yes","3","50","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","Seeing what temperatures were within the purple.","4758","3f4b702f","66ba4d1673ee592dd76d031e","66bb9b8e5b940e7f02386ca8","30","0","18","12","CK3LYXU8","[9,6,16,8,12,17,11,3,4,7,0,13,18,1,10,15,2,14,5]","[4,5,2,8,7,12,10,6,11,1,9,3]","pbox","FL_11"
"2024-08-13 13:24:06","2024-08-13 13:33:22","IP Address","100","555","True","2024-08-13 13:33:22","R_6Wvd09qoQVjk8my","anonymous","EN","1","Chrome","127.0.0.0","Windows NT 10.0","1536x960","Yes","55","12","No","No","No","Yes","Yes","Yes","No","No","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","","Yes","No","No","No","Yes","No","No","Yes","Yes","Yes","No","No","","","","","I am seeing if the probability of the temp dropping below 32 is above 25%","6493","e715308e","66ba4d1673ee592dd76d031e","66bbb2cb03b3090be62470ca","30","4000","18","12","CK3LYXU8","[16,13,0,10,1,7,18,17,9,15,8,2,4,14,3,5,6,11,12]","[5,9,6,10,1,7,11,2,3,4,12,8]","pbox","FL_11"
"2024-08-13 13:23:26","2024-08-13 13:33:24","IP Address","100","597","True","2024-08-13 13:33:25","R_7sBJgw3aEluLHS9","anonymous","EN","1","Chrome","127.0.0.0","Windows NT 10.0","1536x864","Yes","50","5","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","","","","","I followed instructions closely and did my best ","9904","7568c253","66ba4d1673ee592dd76d031e","66bbb2a5c49447dcfb988601","30","0","18","12","CK3LYXU8","[5,18,6,14,17,3,7,10,15,0,9,16,8,2,11,12,1,4,13]","[5,2,11,6,8,4,10,12,7,1,3,9]","pbox","FL_11"
"2024-08-13 13:23:59","2024-08-13 13:35:16","IP Address","100","676","True","2024-08-13 13:35:17","R_5sTqipZu9WQslAC","anonymous","EN","1","Chrome","127.0.0.0","Windows NT 10.0","2560x1440","Yes","5","50","No","Yes","Yes","No","No","No","No","No","No","Yes","Yes","Yes","No","Yes","No","No","Yes","No","No","","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","","","","","I am interpreting it exactly as instructed. Looking at the 32 degree point for the alpacas.","3760","c7cc4fa7","66ba4d1673ee592dd76d031e","66bbb2bae38b300937601a64","30","6000","18","12","CK3LYXU8","[5,2,4,9,0,15,13,14,18,7,8,3,17,1,12,11,6,16,10]","[8,5,11,6,2,3,1,9,12,4,10,7]","pbox","FL_11"
"2024-08-13 13:23:41","2024-08-13 13:35:31","IP Address","100","709","True","2024-08-13 13:35:32","R_1FVxDu3pdzAaRjm","anonymous","EN","0.800000011920929","Safari","17.6","Macintosh","1440x900","Yes","8","50","No","Yes","Yes","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","Yes","No","","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","Yes","No","","","","","I considered the highest points and then the median of the ranges depicted more than anything.","8838","d5f4b7e9","66ba4d1673ee592dd76d031e","66bbb293944cae6dd1c86fa1","30","-2000","18","12","CK3LYXU8","[12,2,7,10,0,11,1,5,8,3,14,6,9,13,15,17,18,4,16]","[6,4,1,8,3,5,7,9,12,10,2,11]","pbox","FL_11"
"2024-08-13 13:25:48","2024-08-13 13:35:57","IP Address","100","609","True","2024-08-13 13:35:58","R_3HtZ2mHmw0r3sud","anonymous","EN","0.800000011920929","Safari","17.0","Macintosh","1440x900","Yes","8","50","Yes","No","No","No","No","No","Yes","Yes","No","No","No","No","No","Yes","Yes","Yes","No","Yes","Yes","","No","Yes","No","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","","","","","I am interpreting this as at least one forecasting agency forecasted a ~10% probability of the temperature dropping below 32 degrees F, and at least one other forecasting agency predicted a 30% probability.","1312","f4ece549","66ba4d1673ee592dd76d031e","66bbb3365de7e549455aa59b","30","10000","18","12","CK3LYXU8","[4,16,0,15,13,12,8,6,10,14,17,9,11,3,2,1,18,7,5]","[12,7,8,10,11,6,2,9,1,3,5,4]","pbox","FL_11"
"2024-08-13 13:24:25","2024-08-13 13:36:20","IP Address","100","714","True","2024-08-13 13:36:20","R_5jrWAXKXfAokuom","anonymous","EN","1","Chrome","124.0.0.0","Macintosh","1470x956","Yes","8","50","Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","No","No","Yes","No","No","No","No","No","No","","Yes","No","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","","","","","I focused almost entirely on the top line/the lowest temperature to determine how cold the temperature could drop.","3993","67850736","66ba4d1673ee592dd76d031e","66bbb2dae3565ee70402221b","30","7000","18","12","CK3LYXU8","[6,1,3,2,12,18,15,5,16,0,8,14,4,10,17,7,9,11,13]","[1,11,12,3,5,2,8,10,4,6,7,9]","pbox","FL_11"
"2024-08-13 13:25:26","2024-08-13 13:37:01","IP Address","100","694","True","2024-08-13 13:37:02","R_7b0ffPHY2PZ1Al3","anonymous","EN","1","Chrome","127.0.0.0","Windows NT 10.0","1920x1080","Yes","6","50","No","No","Yes","Yes","No","No","No","No","Yes","Yes","No","Yes","No","No","No","Yes","No","Yes","No","","No","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","","","","","the probability of the temperature falling below 32 is at most 30% and at least 8%","394","468b58f4","66ba4d1673ee592dd76d031e","66bbb31d7a8198c7130cd06a","30","1000","18","12","CK3LYXU8","[12,17,5,1,13,0,11,8,4,7,15,3,10,14,16,6,9,2,18]","[10,11,9,3,2,7,8,5,4,6,1,12]","pbox","FL_11"
"2024-08-13 13:25:29","2024-08-13 13:37:33","IP Address","100","723","True","2024-08-13 13:37:33","R_3FPpNgLBSJkZKGE","anonymous","EN","1","Chrome","127.0.0.0","Windows NT 10.0","1366x768","Yes","8","50","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","Yes","Yes","No","Yes","No","","No","Yes","No","No","No","Yes","No","No","Yes","No","Yes","No","","","","","Go to 32 degrees then follow that line upwards","4940","976647f0","66ba4d1673ee592dd76d031e","66bbb31e0a9be8e129b6ddde","30","4000","18","12","CK3LYXU8","[16,9,12,6,5,17,8,13,2,14,0,11,7,10,3,1,15,4,18]","[6,3,10,8,7,4,5,11,1,9,2,12]","pbox","FL_11"
"2024-08-13 13:25:53","2024-08-13 13:37:56","IP Address","100","722","True","2024-08-13 13:37:56","R_6POiwfgZRYHnwVS","anonymous","EN","1","Chrome","127.0.0.0","Windows NT 10.0","1366x768","Yes","8","50","No","Yes","Yes","No","No","No","No","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","No","","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","","","","","The predictions range from a 5% to a 30% chance that the the temp drops below 32. At best the temp would be a bit above 38.   ","2668","2f5d1135","66ba4d1673ee592dd76d031e","66bbb31929688dbb0f2d6ec2","30","10000","18","12","CK3LYXU8","[9,2,6,15,16,17,0,3,1,4,7,10,12,5,8,14,18,11,13]","[4,1,2,11,10,6,3,5,12,8,7,9]","pbox","FL_11"
"2024-08-13 13:28:22","2024-08-13 13:40:00","IP Address","100","697","True","2024-08-13 13:40:00","R_1Ralxp9qmaWVzzh","anonymous","EN","1","Chrome","127.0.0.0","Windows NT 10.0","1280x720","Yes","9","50","No","No","Yes","No","No","Yes","No","Yes","Yes","Yes","No","No","No","No","Yes","No","No","No","No","","No","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","","","","","reading low and high probability of temperature ","8263","2242116b","66ba4d1673ee592dd76d031e","66bbb3c07e53db38261e7be3","30","12000","18","12","CK3LYXU8","[16,13,6,15,12,3,0,5,2,4,7,17,10,8,1,18,11,14,9]","[10,11,2,3,8,5,4,1,12,7,9,6]","pbox","FL_11"
"2024-08-13 13:27:48","2024-08-13 13:43:42","IP Address","100","954","True","2024-08-13 13:43:43","R_5nzDVY6zYAHuVc5","anonymous","EN","1","Chrome","127.0.0.0","Windows NT 10.0","1707x960","Yes","5","50","Yes","No","Yes","No","No","No","No","No","Yes","Yes","No","No","No","Yes","No","No","No","Yes","Yes","","Yes","Yes","Yes","No","No","No","Yes","No","Yes","No","No","Yes","","","","","I looked at the minimum and maximum range in the shaded area, and considered the midpoint as my baseline.","553","ff6be1c7","66ba4d1673ee592dd76d031e","66bbb3ac26a219f96e45b364","30","6000","18","12","CK3LYXU8","[6,16,5,12,15,8,11,13,7,4,0,17,18,1,9,10,14,3,2]","[4,5,3,11,8,7,1,10,6,9,12,2]","pbox","FL_11"
"2024-08-13 13:26:29","2024-08-13 13:45:14","IP Address","100","1124","True","2024-08-13 13:45:14","R_7yfoA9IPJxKjT5s","anonymous","EN","0.800000011920929","Safari","17.6","Macintosh","1280x800","Yes","10","50","No","Yes","No","Yes","No","No","Yes","No","No","Yes","No","Yes","No","Yes","Yes","No","No","No","No","","No","Yes","No","No","Yes","Yes","No","Yes","Yes","No","No","No","","","","","I look at the 32 degree x and y axis. ","6531","b09d79ef","66ba4d1673ee592dd76d031e","66bbb34f1a61eab53ae6b77c","30","6000","18","12","CK3LYXU8","[10,6,0,3,9,15,5,17,11,1,16,7,13,2,4,8,14,18,12]","[10,4,6,7,3,1,11,2,5,9,12,8]","pbox","FL_11"
"2024-08-13 13:26:48","2024-08-13 13:46:12","IP Address","100","1164","True","2024-08-13 13:46:12","R_6fq9HJOFbkYuTTD","anonymous","EN","1","Chrome","127.0.0.0","Windows NT 10.0","1283x616","Yes","8","50","No","Yes","No","Yes","Yes","No","No","No","No","No","No","No","Yes","No","Yes","Yes","Yes","Yes","Yes","","No","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","","","","","I would look at the probability range of the temp dropping below 32 F and make my determination.","7779","052767c5","66ba4d1673ee592dd76d031e","66bbb36f3b060b5eaf93a047","30","9000","18","12","CK3LYXU8","[17,4,0,3,1,15,14,12,13,18,11,16,2,10,5,9,7,6,8]","[9,2,10,7,8,1,5,3,12,11,4,6]","pbox","FL_11"
